episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,timers/learner_dequeue_time_ms,timers/learner_grad_time_ms,timers/learner_grad_throughput,timers/learner_overall_time_ms,timers/learner_overall_throughput,info/num_steps_sampled,info/num_weight_syncs,info/num_steps_trained,info/last_target_update_ts,info/exploration_infos,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/replay_shard_0/add_batch_time_ms,info/replay_shard_0/replay_time_ms,info/replay_shard_0/update_priorities_time_ms,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_q,info/learner/default_policy/min_q,info/learner/default_policy/max_q,info/learner/default_policy/mean_td_error,info/replay_shard_0/policy_default_policy/added_count,info/replay_shard_0/policy_default_policy/sampled_count,info/replay_shard_0/policy_default_policy/est_size_bytes,info/replay_shard_0/policy_default_policy/num_entries
0.0,0.0,0.0,201.0,3,8,47616,False,3,1,9c22edb118d946eabca63d117e905bbc,2022-01-16_12-24-27,1642335867,19.757823705673218,19.757823705673218,201,ip-10-0-126-99.us-east-2.compute.internal,10.0.126.99,19.757823705673218,0,1,00000,0,"[0.0, 0.0, 0.0]","[2, 87, 514]",1.9203081434804699,11.840485740798476,7.3400062358935685,2563.379,202.497,2528.436,3132.142,163.466,47616,88,512,0,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",81.55000000000001,18.650000000000002,0.016153846153846154,0.06161381143180071,13,10.923076923076923,3.626007307505439,"[5.0, 6.2, 11.0, 15.8, 16.0]",9.978,32.671,55.974,0.0002500000118743628,-8.35133,-17.252506,1.646707,-34.901615,12928,11264,4408448,12928
10.0,0.0,0.3225806451612903,788.5483870967741,28,8,72960,False,31,2,9c22edb118d946eabca63d117e905bbc,2022-01-16_12-24-38,1642335878,10.901089191436768,30.658912897109985,201,ip-10-0-126-99.us-east-2.compute.internal,10.0.126.99,30.658912897109985,0,2,00000,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 666, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 11, 11, 33, 121, 2, 87, 514]",1.8616552096817334,11.923663363524106,7.265573816544032,0.011,81.58,6276.074,81.641,6271.367,72960,139,75776,50176,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",80.88571428571427,21.685714285714283,0.3185714285714285,0.17565689324243827,158,11.14,3.714888962001422,"[2.0, 6.0, 11.5, 16.0, 16.0]",9.422,29.674,67.599,0.0002500000118743628,30.942944,0.8103752,55.93545,-0.9328842,18816,33792,6416256,18816
10.0,0.0,0.5714285714285714,713.7142857142857,4,8,99200,False,35,3,9c22edb118d946eabca63d117e905bbc,2022-01-16_12-24-49,1642335889,11.096412658691406,41.75532555580139,201,ip-10-0-126-99.us-east-2.compute.internal,10.0.126.99,41.75532555580139,0,3,00000,0,"[10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[171, 131, 210, 23, 2, 87, 514, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 666, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 11, 11, 33, 121]",1.8614371428673033,11.910993157808546,7.258529247983535,0.012,62.533,8187.612,62.599,8179.011,99200,192,155136,150528,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",80.80714285714285,23.071428571428577,0.3535714285714286,0.17565689324243827,316,12.64,3.0512948071269674,"[4.0, 8.9, 13.5, 16.0, 16.0]",8.192,32.937,67.943,0.0002500000118743628,31.917065,3.4069552,52.370808,0.4055519,23936,54272,8162176,23936
10.0,0.0,0.5227272727272727,735.4090909090909,9,8,124800,False,44,4,9c22edb118d946eabca63d117e905bbc,2022-01-16_12-25-00,1642335900,10.630147218704224,52.385472774505615,201,ip-10-0-126-99.us-east-2.compute.internal,10.0.126.99,52.385472774505615,0,4,00000,0,"[0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 350, 28, 2, 87, 514, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 666, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 11, 11, 33, 121, 171, 131, 210, 23]",1.841287768410951,11.86734301443297,7.2301090664033865,0.013,65.713,7791.508,65.788,7782.517,124800,240,237056,200704,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",83.43846153846154,24.17692307692308,0.39846153846153853,0.17565689324243827,475,11.48,3.232584105634376,"[3.0, 7.9, 12.0, 15.100000000000001, 16.0]",7.845,35.955,64.195,0.0002500000118743628,32.408257,4.7041426,53.452522,1.9803286,30080,74240,10257280,30080
10.0,0.0,0.515625,772.0,20,8,150144,False,64,5,9c22edb118d946eabca63d117e905bbc,2022-01-16_12-25-11,1642335911,10.932806491851807,63.31827926635742,201,ip-10-0-126-99.us-east-2.compute.internal,10.0.126.99,63.31827926635742,0,5,00000,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 319, 73, 1000, 396, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 262, 2, 87, 514, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 666, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 11, 11, 33, 121, 171, 131, 210, 23, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 350, 28]",1.835849242808085,11.836199970217784,7.217580675211934,0.014,59.564,8595.735,59.639,8584.952,150144,289,317440,301056,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",82.82857142857142,25.178571428571427,0.3507142857142857,0.17565689324243827,630,11.7,3.1128764832546763,"[4.0, 7.9, 12.0, 15.100000000000001, 16.0]",7.967,36.389,71.398,0.0002500000118743628,29.503366,5.8827896,49.267193,0.9132548,38016,94720,12963456,38016
10.0,0.0,0.7794117647058824,752.1617647058823,4,8,176512,False,68,6,9c22edb118d946eabca63d117e905bbc,2022-01-16_12-25-22,1642335922,10.974916458129883,74.2931957244873,201,ip-10-0-126-99.us-east-2.compute.internal,10.0.126.99,74.2931957244873,0,6,00000,0,"[10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[368, 46, 325, 1000, 2, 87, 514, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 666, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 11, 11, 33, 121, 171, 131, 210, 23, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 350, 28, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 319, 73, 1000, 396, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 262]",1.8363201326508491,11.832072458930675,7.212826240143568,0.01,54.161,9453.376,54.221,9442.871,176512,343,395264,351232,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",82.02142857142857,26.157142857142862,0.3742857142857143,0.17565689324243827,786,10.86,3.566566976799959,"[3.0, 6.0, 11.0, 15.100000000000001, 16.0]",8.763,35.297,70.475,0.0002500000118743628,28.016518,3.6466382,49.34234,0.38749042,43904,113664,14971264,43904
10.0,0.0,0.7241379310344828,795.4252873563219,19,8,201984,False,87,7,9c22edb118d946eabca63d117e905bbc,2022-01-16_12-25-32,1642335932,10.661342144012451,84.95453786849976,201,ip-10-0-126-99.us-east-2.compute.internal,10.0.126.99,84.95453786849976,0,7,00000,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0]","[1000, 1000, 1000, 1000, 1000, 55, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 2, 87, 514, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 666, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 11, 11, 33, 121, 171, 131, 210, 23, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 350, 28, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 319, 73, 1000, 396, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 262, 368, 46, 325, 1000]",1.825798887024837,11.796917781038546,7.171750605083752,0.009,58.138,8806.566,58.19,8798.7,201984,392,473088,451584,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",82.03076923076924,27.123076923076926,0.35615384615384615,0.17565689324243827,937,11.82,2.6660082520502444,"[6.0, 8.0, 12.0, 15.0, 16.0]",7.746,33.224,66.293,0.0002500000118743628,27.544252,4.6161537,46.975834,1.2358427,49920,133632,17022720,49920
10.0,0.0,0.6631578947368421,781.4736842105264,8,8,227968,False,95,8,9c22edb118d946eabca63d117e905bbc,2022-01-16_12-25-43,1642335943,10.857175827026367,95.81171369552612,201,ip-10-0-126-99.us-east-2.compute.internal,10.0.126.99,95.81171369552612,0,8,00000,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[31, 957, 1000, 282, 499, 269, 1000, 1000, 2, 87, 514, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 666, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 11, 11, 33, 121, 171, 131, 210, 23, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 350, 28, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 319, 73, 1000, 396, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 262, 368, 46, 325, 1000, 1000, 1000, 1000, 1000, 1000, 55, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1.8240318210154094,11.784713024769355,7.1558492825796876,0.012,65.506,7816.06,65.579,7807.382,227968,441,550400,501760,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",80.85000000000001,28.092857142857138,0.3428571428571429,0.17565689324243827,1085,11.18,3.031105408922626,"[4.0, 7.0, 11.5, 15.0, 16.0]",7.548,33.826,68.315,0.0002500000118743628,26.65467,5.9730344,46.13189,0.8385011,55808,152576,19030528,55808
10.0,0.0,0.73,766.27,13,8,254080,False,108,9,9c22edb118d946eabca63d117e905bbc,2022-01-16_12-25-54,1642335954,11.059208631515503,106.87092232704163,201,ip-10-0-126-99.us-east-2.compute.internal,10.0.126.99,106.87092232704163,0,9,00000,0,"[0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1000, 629, 132, 112, 1, 803, 8, 1000, 1000, 1000, 1000, 305, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 666, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 11, 11, 33, 121, 171, 131, 210, 23, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 350, 28, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 319, 73, 1000, 396, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 262, 368, 46, 325, 1000, 1000, 1000, 1000, 1000, 1000, 55, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 31, 957, 1000, 282, 499, 269, 1000, 1000]",1.8073441812307403,11.748182387433554,7.108998825628,0.009,56.795,9014.836,56.849,9006.243,254080,494,628224,602112,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",81.5,29.092857142857138,0.34428571428571436,0.17565689324243827,1240,11.14,2.9462518561725166,"[5.0, 7.0, 11.0, 15.0, 16.0]",8.183,33.328,68.469,0.0002500000118743628,25.505255,5.621759,43.122673,1.4025668,62848,172544,21431168,62848
10.0,0.0,0.83,714.16,18,8,279552,False,126,10,9c22edb118d946eabca63d117e905bbc,2022-01-16_12-26-05,1642335965,10.988849878311157,117.85977220535278,201,ip-10-0-126-99.us-east-2.compute.internal,10.0.126.99,117.85977220535278,0,10,00000,0,"[0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1000, 1000, 209, 714, 1000, 86, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 25, 25, 1000, 32, 364, 1000, 11, 11, 33, 121, 171, 131, 210, 23, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 350, 28, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 319, 73, 1000, 396, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 262, 368, 46, 325, 1000, 1000, 1000, 1000, 1000, 1000, 55, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 31, 957, 1000, 282, 499, 269, 1000, 1000, 1000, 629, 132, 112, 1, 803, 8, 1000, 1000, 1000, 1000, 305, 1000]",1.7995705993779283,11.67699058501953,7.056912624881488,0.009,67.918,7538.543,67.977,7531.941,279552,544,709120,702464,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",81.39999999999999,30.078571428571426,0.3321428571428572,0.17565689324243827,1397,12.68,2.1581473536345936,"[8.0, 9.9, 13.0, 15.0, 16.0]",8.857,39.123,71.536,0.0002500000118743628,24.182787,7.1872706,39.845814,0.9604175,68736,193024,23438976,68736
