episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,timers/learner_dequeue_time_ms,timers/learner_grad_time_ms,timers/learner_grad_throughput,timers/learner_overall_time_ms,timers/learner_overall_throughput,info/num_steps_sampled,info/num_weight_syncs,info/num_steps_trained,info/last_target_update_ts,info/exploration_infos,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/replay_shard_0/add_batch_time_ms,info/replay_shard_0/replay_time_ms,info/replay_shard_0/update_priorities_time_ms,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_q,info/learner/default_policy/min_q,info/learner/default_policy/max_q,info/learner/default_policy/mean_td_error,info/replay_shard_0/policy_default_policy/added_count,info/replay_shard_0/policy_default_policy/sampled_count,info/replay_shard_0/policy_default_policy/est_size_bytes,info/replay_shard_0/policy_default_policy/num_entries
10.0,0.0,5.0,372.5,2,8,51200,False,2,1,1ee593fec4aa4624bd82dac9716a99e5,2022-01-16_09-42-47,1642326167,20.66849422454834,20.66849422454834,201,ip-10-0-207-128.us-east-2.compute.internal,10.0.207.128,20.66849422454834,0,1,00000,0,"[0.0, 10.0]","[32, 713]",1.8174230408410923,12.00661996976525,7.04977234729341,2140.824,173.972,2943.007,2552.728,200.57,51200,96,512,0,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",82.51481481481481,19.02592592592593,0.015555555555555555,0.06144485871800717,14,10.428571428571429,3.9227229193559943,"[4.0, 5.300000000000001, 10.5, 15.700000000000001, 16.0]",9.257,0.0,0.0,0.0002500000118743628,3.246943,-5.4614296,14.658585,-2.965792,12672,0,4321152,12672
10.0,0.0,0.8,949.04,23,8,76416,False,25,2,1ee593fec4aa4624bd82dac9716a99e5,2022-01-16_09-42-58,1642326178,10.438188791275024,31.106683015823364,201,ip-10-0-207-128.us-east-2.compute.internal,10.0.207.128,31.106683015823364,0,2,00000,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 981, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 32, 713]",1.8197598728205309,11.992538351913009,7.02300637610281,0.01,67.286,7609.267,67.348,7602.315,76416,145,78848,50176,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",84.73846153846154,22.27692307692308,0.40230769230769237,0.17565689324243827,164,12.42,2.8919889349719163,"[6.0, 8.0, 13.0, 16.0, 16.0]",9.208,36.856,68.837,0.0002500000118743628,10.065653,-4.2146373,38.735546,0.2738642,19072,21504,6503552,19072
10.0,0.0,0.8,949.04,0,8,101888,False,25,3,1ee593fec4aa4624bd82dac9716a99e5,2022-01-16_09-43-09,1642326189,10.75883173942566,41.86551475524902,201,ip-10-0-207-128.us-east-2.compute.internal,10.0.207.128,41.86551475524902,0,3,00000,0,"[0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[32, 713, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 981, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1.8197598728205309,11.992538351913009,7.023006376102809,0.009,53.481,9573.569,53.531,9564.504,101888,197,157696,150528,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",85.32857142857142,23.621428571428574,0.3985714285714286,0.17565689324243827,322,12.5,2.483948469674844,"[7.0, 9.0, 13.0, 16.0, 16.0]",8.809,34.604,66.813,0.0002500000118743628,12.941424,1.0775346,38.71501,0.39007777,26368,41984,8991488,26368
10.0,0.0,0.4166666666666667,973.4583333333334,23,8,127104,False,48,4,1ee593fec4aa4624bd82dac9716a99e5,2022-01-16_09-43-19,1642326199,10.518669843673706,52.38418459892273,201,ip-10-0-207-128.us-east-2.compute.internal,10.0.207.128,52.38418459892273,0,4,00000,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 32, 713, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 981, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1.8298327790271356,11.956038258044579,7.0771263678134835,0.01,58.853,8699.605,58.911,8691.085,127104,246,242176,200704,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",83.80769230769229,24.638461538461545,0.38923076923076927,0.17565689324243827,485,12.08,3.404937591204867,"[3.0, 7.0, 13.0, 16.0, 16.0]",10.647,31.188,70.396,0.0002500000118743628,12.710765,2.2995725,35.076027,0.27096656,33152,62976,11304832,33152
10.0,0.0,0.4,956.46,2,8,152448,False,50,5,1ee593fec4aa4624bd82dac9716a99e5,2022-01-16_09-43-30,1642326210,10.578855991363525,62.963040590286255,201,ip-10-0-207-128.us-east-2.compute.internal,10.0.207.128,62.963040590286255,0,5,00000,0,"[0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1000, 97, 32, 713, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 981, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1.8284861185258665,11.95461795715796,7.079735619284752,0.01,49.279,10389.892,49.335,10378.032,152448,296,326656,301056,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",82.60714285714286,25.642857142857142,0.3628571428571429,0.17565689324243827,652,10.88,3.397881693055248,"[4.0, 6.0, 11.0, 15.0, 16.0]",8.717,36.089,67.952,0.0002500000118743628,13.322525,4.2861357,34.22316,0.19876024,42112,83456,14360192,42112
10.0,0.0,0.39215686274509803,957.3137254901961,1,8,178176,False,51,6,1ee593fec4aa4624bd82dac9716a99e5,2022-01-16_09-43-40,1642326220,10.40036153793335,73.3634021282196,201,ip-10-0-207-128.us-east-2.compute.internal,10.0.207.128,73.3634021282196,0,6,00000,0,"[0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1000, 32, 713, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 981, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 97]",1.827882073268372,11.954459752418757,7.08082764602121,0.012,63.974,8003.192,64.05,7993.769,178176,344,409088,401408,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",86.26153846153846,26.615384615384617,0.41384615384615375,0.17565689324243827,810,11.76,2.7608694282779838,"[5.0, 8.0, 12.0, 15.100000000000001, 16.0]",8.295,36.043,71.254,0.0002500000118743628,13.607145,5.117214,30.623783,0.12917528,48256,103936,16455296,48256
10.0,0.0,0.2631578947368421,945.6184210526316,25,8,204032,False,76,7,1ee593fec4aa4624bd82dac9716a99e5,2022-01-16_09-43-51,1642326231,10.73835825920105,84.10176038742065,201,ip-10-0-207-128.us-east-2.compute.internal,10.0.207.128,84.10176038742065,0,7,00000,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 21, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 23, 32, 713, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 981, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 97, 1000]",1.8363540359541064,11.915792104723188,7.101658825771991,0.011,74.375,6884.033,74.444,6877.621,204032,396,489472,451584,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",83.8307692307692,27.646153846153844,0.35076923076923083,0.17565689324243827,968,12.1,2.5238858928247927,"[7.0, 8.9, 12.0, 16.0, 16.0]",8.764,32.442,67.008,0.0002500000118743628,13.582228,5.8871703,29.029364,0.44211334,56064,124416,19117824,56064
10.0,0.0,0.2631578947368421,945.6184210526316,0,8,229120,False,76,8,1ee593fec4aa4624bd82dac9716a99e5,2022-01-16_09-44-01,1642326241,10.363687992095947,94.4654483795166,201,ip-10-0-207-128.us-east-2.compute.internal,10.0.207.128,94.4654483795166,0,8,00000,0,"[0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[32, 713, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 981, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 97, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 21, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 23]",1.8363540359541073,11.91579210472319,7.101658825771989,0.012,55.701,9191.881,55.757,9182.708,229120,445,570880,551936,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",83.73846153846154,28.5,0.38461538461538464,0.17565689324243827,1126,12.5,2.2203603311174516,"[8.0, 9.0, 13.0, 15.100000000000001, 16.0]",7.788,39.488,71.699,0.0002500000118743628,13.622675,7.863159,30.953047,0.2848109,63360,144384,21605760,63360
10.0,0.0,0.30612244897959184,953.6122448979592,22,8,254720,False,98,9,1ee593fec4aa4624bd82dac9716a99e5,2022-01-16_09-44-12,1642326252,10.625502586364746,105.09095096588135,201,ip-10-0-207-128.us-east-2.compute.internal,10.0.207.128,105.09095096588135,0,9,00000,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 687, 900, 1000, 1000, 1000, 1000, 1000, 1000, 32, 713, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 981, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 97, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 21, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 23]",1.840883593985054,11.902037298458467,7.11143340902597,0.011,56.476,9065.802,56.539,9055.729,254720,495,650752,602112,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",85.43571428571428,29.52142857142857,0.38571428571428573,0.17565689324243827,1284,12.24,2.3200000000000003,"[7.0, 9.0, 12.0, 15.0, 16.0]",8.2,31.676,73.171,0.0002500000118743628,13.856695,7.2718725,28.519083,0.55721235,69376,164864,23657216,69376
10.0,0.0,0.4,954.57,3,8,280320,False,101,10,1ee593fec4aa4624bd82dac9716a99e5,2022-01-16_09-44-23,1642326263,10.586089372634888,115.67704033851624,201,ip-10-0-207-128.us-east-2.compute.internal,10.0.207.128,115.67704033851624,0,10,00000,0,"[0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1000, 1000, 35, 713, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 981, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 97, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 21, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 23, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 687, 900, 1000, 1000, 1000, 1000, 1000, 1000]",1.8412471886824238,11.901569081322073,7.111676725724104,0.01,69.417,7375.69,69.478,7369.284,280320,544,735744,702464,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",83.92307692307692,30.538461538461533,0.35384615384615387,0.17565689324243827,1445,11.62,3.1105626500683123,"[4.0, 7.0, 12.0, 15.100000000000001, 16.0]",9.065,36.548,66.753,0.0002500000118743628,13.393725,8.406321,26.708448,0.36921486,74880,185344,25534080,74880
