episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,timers/learner_dequeue_time_ms,timers/learner_grad_time_ms,timers/learner_grad_throughput,timers/learner_overall_time_ms,timers/learner_overall_throughput,info/num_steps_sampled,info/num_weight_syncs,info/num_steps_trained,info/last_target_update_ts,info/exploration_infos,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/replay_shard_0/add_batch_time_ms,info/replay_shard_0/replay_time_ms,info/replay_shard_0/update_priorities_time_ms,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_q,info/learner/default_policy/min_q,info/learner/default_policy/max_q,info/learner/default_policy/mean_td_error,info/replay_shard_0/policy_default_policy/added_count,info/replay_shard_0/policy_default_policy/sampled_count,info/replay_shard_0/policy_default_policy/est_size_bytes,info/replay_shard_0/policy_default_policy/num_entries
0.0,0.0,0.0,289.0,2,8,48640,False,2,1,5c3bf035e61a4b4f9b67ca2417bc2c6f,2022-01-17_06-08-57,1642399737,19.654093742370605,19.654093742370605,203,ip-10-0-100-105.us-east-2.compute.internal,10.0.100.105,19.654093742370605,0,1,00000,0,"[0.0, 0.0]","[58, 520]",1.7435625102487247,11.888359072205429,7.121707616227396,0.011,165.114,3100.889,2194.44,233.317,48640,92,512,0,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",82.72692307692309,19.007692307692306,0.02846153846153846,0.06096213667859707,15,9.933333333333334,4.2184778718817,"[3.0, 4.4, 10.0, 15.6, 16.0]",10.042,0.0,0.0,0.0002500000118743628,6.528083,-10.613722,17.195803,22.601648,11008,0,3753728,11008
0.0,0.0,0.0,871.6666666666666,25,8,74624,False,27,2,5c3bf035e61a4b4f9b67ca2417bc2c6f,2022-01-17_06-09-09,1642399749,11.630636930465698,31.284730672836304,203,ip-10-0-100-105.us-east-2.compute.internal,10.0.100.105,31.284730672836304,0,2,00000,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[908, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 11, 38, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 58, 520]",1.7805591438848611,11.876184452854526,7.196152456126185,0.009,54.634,9371.433,54.685,9362.661,74624,144,88064,50176,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",81.93333333333334,22.08,0.36266666666666664,0.10788271890925935,187,12.44,2.92,"[5.0, 8.0, 13.0, 16.0, 16.0]",9.822,31.398,68.965,0.0002500000118743628,2.212169,-11.459815,17.794128,-0.10870988,17920,20480,6110720,17920
10.0,0.0,0.9090909090909091,785.060606060606,6,8,100480,False,33,3,5c3bf035e61a4b4f9b67ca2417bc2c6f,2022-01-17_06-09-20,1642399760,11.149089336395264,42.43382000923157,203,ip-10-0-100-105.us-east-2.compute.internal,10.0.100.105,42.43382000923157,0,3,00000,0,"[0.0, 10.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[766, 216, 553, 183, 244, 410, 58, 520, 908, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 11, 38, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1.7717979151169534,11.855065968582124,7.15716688972915,0.01,66.082,7748.008,66.151,7739.882,100480,192,175616,150528,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",81.28571428571429,23.392857142857142,0.3257142857142857,0.10788271890925936,352,11.66,2.6578939030743873,"[6.0, 8.0, 12.0, 15.100000000000001, 16.0]",9.668,32.772,68.081,0.0002500000118743628,3.5247147,-3.2484736,16.787916,0.016580448,24832,40960,8467712,24832
10.0,0.0,0.5769230769230769,843.0384615384615,19,8,125824,False,52,4,5c3bf035e61a4b4f9b67ca2417bc2c6f,2022-01-17_06-09-31,1642399771,10.547179698944092,52.98099970817566,203,ip-10-0-100-105.us-east-2.compute.internal,10.0.100.105,52.98099970817566,0,4,00000,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 10.0, 0.0]","[858, 73, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 58, 520, 908, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 11, 38, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 766, 216, 553, 183, 244, 410]",1.7681197797843025,11.818064967505292,7.110274210050696,0.013,71.88,7123.027,71.95,7116.064,125824,242,258048,250880,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",83.06923076923077,24.36923076923077,0.3553846153846154,0.10788271890925936,514,10.9,3.721558813185679,"[1.0, 5.9, 11.5, 15.0, 16.0]",9.174,33.775,73.653,0.0002500000118743628,4.0607057,-2.997353,14.04347,0.092675075,30464,61952,10388224,30464
10.0,0.0,1.0769230769230769,739.6769230769231,13,8,151424,False,65,5,5c3bf035e61a4b4f9b67ca2417bc2c6f,2022-01-17_06-09-42,1642399782,11.042998552322388,64.02399826049805,203,ip-10-0-100-105.us-east-2.compute.internal,10.0.100.105,64.02399826049805,0,5,00000,0,"[0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 37, 37, 68, 795, 1000, 29, 41, 1000, 1000, 40, 92, 100, 58, 520, 908, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 11, 38, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 766, 216, 553, 183, 244, 410, 858, 73, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1.7639903397507988,11.792616414779262,7.073367685956097,0.009,51.32,9976.593,51.379,9965.228,151424,294,345088,301056,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",81.55,25.28571428571429,0.3814285714285714,0.10788271890925936,688,12.4,3.1368774282716245,"[2.0, 8.9, 13.0, 16.0, 16.0]",8.788,36.247,69.742,0.0002500000118743628,4.3261623,-2.9236333,14.940895,-0.018032733,36864,83968,12570624,36864
10.0,0.0,1.0144927536231885,740.8405797101449,4,8,176768,False,69,6,5c3bf035e61a4b4f9b67ca2417bc2c6f,2022-01-17_06-09-53,1642399793,10.891162157058716,74.91516041755676,203,ip-10-0-100-105.us-east-2.compute.internal,10.0.100.105,74.91516041755676,0,6,00000,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0]","[490, 1000, 1000, 549, 58, 520, 908, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 11, 38, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 766, 216, 553, 183, 244, 410, 858, 73, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 2, 37, 37, 68, 795, 1000, 29, 41, 1000, 1000, 40, 92, 100]",1.7613988256692916,11.781670078341088,7.060839331785205,0.013,62.776,8155.928,62.843,8147.255,176768,343,430592,401408,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",80.65,26.228571428571424,0.3821428571428571,0.10788271890925936,855,11.7,2.7802877548915688,"[5.0, 8.0, 12.0, 15.0, 16.0]",8.728,37.885,66.524,0.0002500000118743628,4.4230886,-1.913475,13.70643,0.095252976,43904,105984,14971264,43904
10.0,0.0,0.7865168539325843,774.629213483146,20,8,203008,False,89,7,5c3bf035e61a4b4f9b67ca2417bc2c6f,2022-01-17_06-10-04,1642399804,11.17937421798706,86.09453463554382,203,ip-10-0-100-105.us-east-2.compute.internal,10.0.100.105,86.09453463554382,0,7,00000,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1000, 1000, 1000, 1000, 1000, 725, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 21, 1000, 1000, 1000, 78, 58, 520, 908, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 11, 38, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 766, 216, 553, 183, 244, 410, 858, 73, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 2, 37, 37, 68, 795, 1000, 29, 41, 1000, 1000, 40, 92, 100, 490, 1000, 1000, 549]",1.7557725016893169,11.744765404478922,7.011829279501102,0.014,69.026,7417.514,69.102,7409.367,203008,392,515584,501760,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",81.58571428571427,27.371428571428574,0.3464285714285714,0.10788271890925936,1017,11.3,3.1192947920964444,"[4.0, 7.0, 11.0, 15.100000000000001, 16.0]",7.35,31.916,69.217,0.0002500000118743628,4.4890313,-0.9622847,12.742837,-0.0028453507,50816,126464,17328256,50816
10.0,0.0,1.1,724.25,17,8,228480,False,106,8,5c3bf035e61a4b4f9b67ca2417bc2c6f,2022-01-17_06-10-15,1642399815,11.024438858032227,97.11897349357605,203,ip-10-0-100-105.us-east-2.compute.internal,10.0.100.105,97.11897349357605,0,8,00000,0,"[0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1000, 498, 207, 1000, 1000, 1000, 253, 1000, 321, 136, 1000, 15, 182, 52, 186, 114, 5, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 11, 38, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 766, 216, 553, 183, 244, 410, 858, 73, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 2, 37, 37, 68, 795, 1000, 29, 41, 1000, 1000, 40, 92, 100, 490, 1000, 1000, 549, 1000, 1000, 1000, 1000, 1000, 725, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 21, 1000, 1000, 1000, 78]",1.7509459012079922,11.706088206145623,6.972656372106599,0.012,65.488,7818.192,65.554,7810.366,228480,443,595456,551936,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",81.63571428571427,28.37857142857143,0.37785714285714284,0.10788271890925936,1174,10.72,3.322890308150421,"[4.0, 6.0, 11.0, 15.0, 16.0]",7.399,32.964,68.704,0.0002500000118743628,4.5481234,-0.5174015,12.387835,0.039321583,57856,146944,19728896,57856
10.0,0.0,1.1,710.43,10,8,253568,False,116,9,5c3bf035e61a4b4f9b67ca2417bc2c6f,2022-01-17_06-10-26,1642399826,10.807149410247803,107.92612290382385,203,ip-10-0-100-105.us-east-2.compute.internal,10.0.100.105,107.92612290382385,0,9,00000,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0]","[362, 1000, 1000, 1000, 1000, 256, 1000, 1000, 1000, 1000, 1000, 11, 38, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 766, 216, 553, 183, 244, 410, 858, 73, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 2, 37, 37, 68, 795, 1000, 29, 41, 1000, 1000, 40, 92, 100, 490, 1000, 1000, 549, 1000, 1000, 1000, 1000, 1000, 725, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 21, 1000, 1000, 1000, 78, 1000, 498, 207, 1000, 1000, 1000, 253, 1000, 321, 136, 1000, 15, 182, 52, 186, 114, 5]",1.748341932007129,11.663473423535866,6.940911712469281,0.01,54.027,9476.7,54.089,9465.964,253568,493,676352,652288,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",79.82142857142857,29.349999999999998,0.3828571428571429,0.10788271890925936,1335,11.26,2.762679858398363,"[6.0, 7.0, 11.0, 15.0, 16.0]",9.278,34.577,66.305,0.0002500000118743628,4.5133805,-0.063671365,11.758,-0.07422734,63872,167424,21780352,63872
10.0,0.0,1.1,711.0,14,8,279424,False,130,10,5c3bf035e61a4b4f9b67ca2417bc2c6f,2022-01-17_06-10-37,1642399837,11.057403087615967,118.98352599143982,203,ip-10-0-100-105.us-east-2.compute.internal,10.0.100.105,118.98352599143982,0,10,00000,0,"[0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1000, 1000, 1000, 818, 1000, 28, 1000, 1000, 357, 1000, 38, 1000, 1000, 400, 183, 244, 410, 858, 73, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 2, 37, 37, 68, 795, 1000, 29, 41, 1000, 1000, 40, 92, 100, 490, 1000, 1000, 549, 1000, 1000, 1000, 1000, 1000, 725, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 21, 1000, 1000, 1000, 78, 1000, 498, 207, 1000, 1000, 1000, 253, 1000, 321, 136, 1000, 15, 182, 52, 186, 114, 5, 362, 1000, 1000, 1000, 1000, 256, 1000, 1000, 1000, 1000]",1.7388091682787135,11.618787955135163,6.877558462246091,0.01,64.035,7995.614,64.092,7988.574,279424,543,760832,752640,"[{'cur_epsilon': 0.0}, {'cur_epsilon': 0.4}, {'cur_epsilon': 0.16}, {'cur_epsilon': 0.064}, {'cur_epsilon': 0.0256}, {'cur_epsilon': 0.01024}, {'cur_epsilon': 0.004096}, {'cur_epsilon': 0.0016384}, {'cur_epsilon': 0.00065536}]",80.52857142857144,30.300000000000004,0.37142857142857144,0.10788271890925936,1497,10.8,3.411744421846396,"[3.0, 5.9, 11.0, 15.0, 16.0]",8.986,34.507,65.487,0.0002500000118743628,4.647969,0.39648306,9.551504,0.12558945,70272,187904,23962752,70272
